,Neighborhoods,Districts,Latitudes,Longitudes
0,Adarsh Nagar,North West Delhi,28.72036,77.17264
1,Ashok Vihar,North West Delhi,28.690379999999998,77.1761
2,Azadpur,North West Delhi,28.712429999999998,77.17305
3,Bawana,North West Delhi,28.79767,77.04522
4,Begum Pur,North West Delhi,28.73262,77.05213
5,Dhaka,North West Delhi,28.70725,77.20488
6,Jahangirpuri,North West Delhi,28.72877,77.17558000000001
7,Karala,North West Delhi,28.73733,77.03959
8,Keshav Puram,North West Delhi,28.68802,77.15866
9,Kingsway Camp,North West Delhi,28.71169,77.20198
10,Kohat Enclave,North West Delhi,28.696590000000004,77.13893
11,Model Town,North West Delhi,28.705009999999998,77.18951
12,Narela,North West Delhi,28.8398,77.07696
13,Pitam Pura,North West Delhi,28.6959,77.13725
14,Rani Bagh,North West Delhi,28.68585,77.13188000000001
15,Rithala,North West Delhi,28.71947,77.10146999999999
16,Rohini Sub City,North West Delhi,28.733559999999997,77.10401999999999
17,Shalimar Bagh,North West Delhi,28.71423,77.15744000000001
18,Shakti Nagar,North Delhi,28.680740000000004,77.19375
19,Bara Hindu Rao,North Delhi,28.66099,77.20451
20,Chandni Chowk,North Delhi,28.65601,77.23671999999999
21,Chawri Bazaar,North Delhi,28.64858,77.23071
22,Civil Lines,North Delhi,28.67672,77.21767
23,Dariba Kalan,North Delhi,28.654609999999998,77.2334
24,Ghantewala,North Delhi,,
25,Gulabi Bagh,North Delhi,28.675459999999998,77.18865
26,Kamla Nagar,North Delhi,28.683770000000003,77.20163000000001
27,Kashmiri Gate,North Delhi,28.66396,77.23521
28,Kotwali,North Delhi,28.598540000000003,77.12691
29,Lahori Gate,North Delhi,28.65614,77.22052
30,Nehru Vihar,North Delhi,28.71143,77.22253
31,Paharganj,North Delhi,28.64065,77.21056999999999
32,Pratap Nagar,North Delhi,28.66977,77.19575
33,Pul Bangash,North Delhi,28.66465,77.2081
34,Roshanara Bagh,North Delhi,28.66902,77.20545
35,Sadar Bazaar,North Delhi,28.66582,77.29834
36,Sangam Vihar,North Delhi,28.7301,77.21542
37,Sant Nagar,North Delhi,28.743240000000004,77.19949
38,Sarai Kale Khan,North Delhi,28.58519,77.26346
39,Sarai Rohilla,North Delhi,28.665840000000003,77.18482
40,Shakti Nagar,North Delhi,28.680740000000004,77.19375
41,Shastri Nagar,North Delhi,28.674359999999997,77.17926999999999
42,Tees Hazari,North Delhi,28.666,77.2152
43,Timarpur,North Delhi,28.70079,77.22117
44,Wazirabad,North Delhi,28.7328,77.22439
45,Babarpur,North East Delhi,28.68825,77.28148
46,Dilshad Garden,North East Delhi,28.679040000000004,77.31475999999999
47,Kabir Nagar,North East Delhi,28.69378,77.28262
48,Mandoli,North East Delhi,28.706709999999998,77.31268
49,Maujpur,North East Delhi,28.68917,77.27516999999999
50,Nand Nagri,North East Delhi,28.696709999999996,77.30386
51,Naveen Shahdara,North East Delhi,28.67369,77.28326
52,New Usmanpur,North East Delhi,28.6825,77.25650999999999
53,Sadatpur,North East Delhi,28.72042,77.26725
54,Shahdara,North East Delhi,28.68957,77.27802
55,Sonia Vihar,North East Delhi,28.72937,77.24566
