,Neighborhoods,Latitudes,Longitudes,Prices(sqft)
0,Uttam Nagar,,,7486
1,Uttam Nagar west,,,6762.32
2,Malviya Nagar,,,11703.7
3,laxmi nagar,,,11858.86
4,Greater kailash 1,,,17797.51
5,Saket,,,13995.16
6,Defence Colony,,,20939.86
7,Safdarjung Enclave,,,21743.02
8,Vasant Kunj,,,68576.87
9,Greater Kailash II,,,16788.9
10,Vasant Vihar,,,48856.77
11,Dwarka More,,,50359.58
12,Panchsheel Park,,,60449.23
13,Panchsheel Enclave,,,19538.06
14,Shivalik,,,19444.44
15,Sarita Vihar,,,34203.51
16,Chhawla,,,4819.7
17,Chattarpur,,,28422.15
18,Khanpur,,,4519.11
19,Geetanjali Enclave,,,22596.56
20,mayur vihar phase 1,,,18115.21
21,New Friends Colony,,,12636.03
22,Burari,,,5894.39
23,Sector 19 Dwarka,,,17552.53
24,Kalkaji,,,57796.75
25,Sector 12 Dwarka,,,15714.44
26,Sector 22 Dwarka,,,19363.67
27,Hauz Khas,,,21539.83
28,laxmi nagar near metro station,,,7893.64
29,Raja Puri,,,4587.62
30,Sarvodaya Enclave,,,22216.05
31,Sarvpriya Vihar,,,nan
32,Sector 6 Dwarka,,,13743.8
33,Green Park Extension,,,nan
34,Sector 23 Dwarka,,,85241.3
35,Green Park,,,24418.68
36,Paschim Vihar,,,15976.95
37,Greater Kailash,,,42582.15
38,East of Kailash,,,14927.57
39,Pitampura,,,19100.53
40,New Ashok Nagar,,,5786.14
41,Mohan Garden,,,5894.72
42,Sector 10 Dwarka,,,102339.42
43,Sector 11 Dwarka,,,13176.38
44,Dwarka Mor,,,997.85
45,Sector 4 Dwarka,,,16716.11
46,Sector 7 Dwarka,,,11841.51
47,Dwarka New Delhi 110075,,,43931.02
48,Navjeevan Vihar,,,9803.92
49,Gulmohar park,,,44385.85
50,Anand Niketan,,,34421.58
51,Lalita Park,,,6253.77
52,Khanpur Deoli,,,466.51
53,Hari Nagar,,,20296.49
54,Jangpura,,,3490.91
55,Neb Sarai,,,4949.95
56,Zone L Dwarka,,,6307.02
57,Guru Angad Nagar,,,7311.11
58,Golf Links,,,2845.53
59,Punjabi Bagh,,,13690.83
60,nawada,,,6609.95
