,Neighborhoods,Latitudes,Longitudes,Prices(sqft)
0,Uttam Nagar,28.6174,77.05281,7486.0
1,Uttam Nagar west,28.6174,77.05281,6762.32
2,Malviya Nagar,28.53394,77.20702,11703.7
3,laxmi nagar,28.63875,77.27592,11858.86
4,Greater kailash 1,28.55291,77.23724,17797.51
5,Saket,28.52408,77.20677,13995.16
6,Defence Colony,28.57298,77.23357,20939.86
7,Safdarjung Enclave,28.56484,77.19468,21743.02
8,Vasant Kunj,28.53152,77.15021,68576.87
9,Greater Kailash II,28.53762,77.24062,16788.9
10,Vasant Vihar,28.56494,77.16131,48856.77
11,Dwarka More,28.58995,77.04004,50359.58
12,Panchsheel Park,28.54287,77.21457,60449.23
13,Panchsheel Enclave,28.54429,77.22651,19538.06
14,Shivalik,28.53795,77.21014,19444.44
15,Sarita Vihar,28.55039,77.28341,34203.51
16,Chhawla,28.55782,77.00172,4819.7
17,Chattarpur,28.4928,77.17052,28422.15
18,Khanpur,28.50963,77.23109,4519.11
19,Geetanjali Enclave,28.52846,77.20355,22596.56
20,mayur vihar phase 1,28.60574,77.29383,18115.21
21,New Friends Colony,28.57813,77.27,12636.03
22,Burari,28.75661,77.20695,5894.39
23,Sector 19 Dwarka,28.56305,77.05974,17552.53
24,Kalkaji,28.53662,77.26094,57796.75
25,Sector 12 Dwarka,28.59544,77.06714,15714.44
26,Sector 22 Dwarka,28.5843,77.05891,19363.67
27,Hauz Khas,28.5511,77.204,21539.83
28,laxmi nagar near metro station,28.63627,77.09615,7893.64
29,Raja Puri,28.61021,77.06098,4587.62
30,Sarvodaya Enclave,28.53838,77.19986,22216.05
31,Sector 6 Dwarka,28.58684,77.06325,13743.8
32,Sector 23 Dwarka,28.58444,77.05902,85241.3
33,Green Park,28.55898,77.20462,24418.68
34,Paschim Vihar,28.66933,77.09174,15976.95
35,Greater Kailash,28.54849,77.23667,42582.15
36,East of Kailash,28.55633,77.24909,14927.57
37,Pitampura,28.6959,77.13725,19100.53
38,New Ashok Nagar,28.5921,77.3033,5786.14
39,Mohan Garden,28.62201,77.05525,5894.72
40,Sector 10 Dwarka,28.56188,77.05736,102339.42
41,Sector 11 Dwarka,28.56305,77.05974,13176.38
42,Dwarka Mor,28.58995,77.04004,997.85
43,Sector 4 Dwarka,28.58684,77.06325,16716.11
44,Sector 7 Dwarka,28.58684,77.06325,11841.51
45,Dwarka New Delhi 110075,28.59226,77.06717,43931.02
46,Navjeevan Vihar,28.53328,77.19973,9803.92
47,Gulmohar park,28.55641,77.21159,44385.85
48,Anand Niketan,28.57555,77.16103,34421.58
49,Lalita Park,28.63062,77.27507,6253.77
50,Khanpur Deoli,28.50963,77.23109,466.51
51,Hari Nagar,28.61203,77.02409,20296.49
52,Jangpura,28.58341,77.2472,3490.91
53,Neb Sarai,28.51532,77.19597,4949.95
54,Zone L Dwarka,28.58995,77.04004,6307.02
55,Guru Angad Nagar,28.63893,77.28226,7311.11
56,Golf Links,28.60306,77.23269,2845.53
57,Punjabi Bagh,28.66634,77.12501,13690.83
58,nawada,28.62412,77.05118,6609.95
59,Sector 5 Dwarka,28.58684,77.06325,13246.96
60,Paryavaran Complex,,,5125.22
61,Ramesh Park,28.63501,77.27288,6900.4
62,Badarpur,28.50739,77.30347,3452.11
63,Sector 13 Dwarka,28.56305,77.05974,1352.46
64,Vishwakarma Park,28.63852,77.27106,6443.1
65,Freedom Fighter Enclave,28.51065,77.20081,4668.3
66,Jor bagh,28.58236,77.21405,4500.0
67,Om Vihar,28.61793,77.05011,5535.2
68,Mangal Bazar Road,28.62249,77.06395,795.34
69,Janakpuri,28.62792,77.0906,14605.96
70,Sector 24 Rohini,28.73599,77.10284,21117.92
71,Mahavir Enclave,28.60058,77.07593,8866.37
72,Shahdara,28.68957,77.27802,14918.18
73,Patel Nagar,28.64783,77.16449,24126.85
74,Sector 18A Dwarka,28.56466,77.0514,15335.71
75,Niti Bagh,28.55763,77.21536,16818.18
76,Khanpur Krishna Park,,,4483.39
77,Mehrauli,28.5209,77.18011,12612.03
78,Jaitpur,28.50231,77.32963,2352.82
79,C R Park,28.54168,77.24774,17361.11
80,i p extension patparganj,28.61798,77.28712,15136.3
81,Jasola,28.5406,77.29678,11324.78
82,Shanti Niketan,28.57757,77.16812,26136.36
83,West Punjabi Bagh,28.66634,77.12501,13890.39
84,Maharani Bagh,28.57224,77.26358,115.23
85,Karol Bagh,28.65046,77.18873,15655.69
86,Sector 24 Dwarka,28.58452,77.05909,4668.88
87,Kota House Entrance,,,15287.42
88,Sector 3 Dwarka,28.5834,77.06076,17749.69
89,Delhi,28.63096,77.21722,21620.23
90,Vishwas Park,28.60185,77.05897,4464.29
91,Jangpura Extension,28.58351,77.24149,13888.89
