,VenueNames,VenueIds,VenueCategories,VenueLatitudes,VenueLongitudes,NeighborhoodNames,NeighborhoodLatitudes,NeighborhoodLongitudes
0,Shalimar bagh club,50476c99e4b0fb33813c9e2b,Indian Restaurant,28.711882012456098,77.15793345551063,Adarsh Nagar,28.72036,77.17264
1,Ever Bake,4be2cf842fc7d13a216f083a,Bakery,28.706418633518236,77.16260739997145,Adarsh Nagar,28.72036,77.17264
2,"DT Cinemas, City Centre",4b8a46d7f964a520b66632e3,Multiplex,28.703045378352055,77.15818948026143,Adarsh Nagar,28.72036,77.17264
3,Arjun Pao Bhaji,4bfd427dbf6576b036f7acb8,Indian Restaurant,28.708468173834454,77.18496322631836,Adarsh Nagar,28.72036,77.17264
4,Bellagio,4d7ca74b136bf04db8ef628d,Asian Restaurant,28.696361101018056,77.18002105017133,Adarsh Nagar,28.72036,77.17264
5,Pentamed Canteen,4b9291cdf964a5204a0534e3,Snack Place,28.699219972029947,77.19174820097714,Adarsh Nagar,28.72036,77.17264
6,Costa Coffee,4efd6a8593adc824566abe9a,Café,28.72594864156771,77.14428597935034,Adarsh Nagar,28.72036,77.17264
7,Subway,5141c822e4b03ec23008f0ab,Sandwich Place,28.69632063168931,77.17998336484409,Adarsh Nagar,28.72036,77.17264
8,Subway.,4f6de99ae4b08a0bba95619e,Sandwich Place,28.695571296469403,77.17196364683056,Adarsh Nagar,28.72036,77.17264
9,Cafe Coffee Day,4f577c6de4b0377eeeeda637,Coffee Shop,28.707933601581548,77.16147766720368,Adarsh Nagar,28.72036,77.17264
10,Dunkin Donuts,50e5aa40e4b04630d3d52240,Donut Shop,28.705036830843877,77.19006901993055,Adarsh Nagar,28.72036,77.17264
11,cafe coffee day,4c6a8f25cff2952133e4265e,Coffee Shop,28.70850581381088,77.19122886657715,Adarsh Nagar,28.72036,77.17264
12,Invitation Restaurant,4ef1f61f6c253bf12340bd3d,Indian Restaurant,28.696181557447208,77.17928699622868,Adarsh Nagar,28.72036,77.17264
13,McDonald's,4c9117b8ae45224b14f1e497,Fast Food Restaurant,28.70563888314002,77.19014763530008,Adarsh Nagar,28.72036,77.17264
14,Domino's Pizza,4bfa31284a67c928d9f227cf,Pizza Place,28.704,77.19,Adarsh Nagar,28.72036,77.17264
15,24SEVEN,50f968f4e4b0cc3557716871,Convenience Store,28.71353407871715,77.15734929638812,Adarsh Nagar,28.72036,77.17264
16,Balsawa Golf Course,4e6ad3e518a83989eca50c7e,Golf Course,28.73330380350909,77.18358307619556,Adarsh Nagar,28.72036,77.17264
17,DLF City Center Mall,4eac0ea6e5e8a5ae7439c89d,Shopping Mall,28.703162839723692,77.15806264413126,Adarsh Nagar,28.72036,77.17264
18,Grand Plaza,4dc29ed9d22dd7df9aac7768,Restaurant,28.704231883359686,77.18931952920994,Adarsh Nagar,28.72036,77.17264
19,Cafe Coffee Day,50fd7436e4b0fb41b1168e0e,Coffee Shop,28.69610288506766,77.17994405382133,Adarsh Nagar,28.72036,77.17264
20,pitam pura,4e3a8a03d164c429b72b7879,Light Rail Station,28.707983724281323,77.1468114726703,Adarsh Nagar,28.72036,77.17264
21,24SEVEN,50f2eafde4b00599e74c6fec,Convenience Store,28.702955914151072,77.19521821369096,Adarsh Nagar,28.72036,77.17264
22,Premier Inn,4e15d65d62e1c2c0192fd2a7,Hotel,28.72584299763118,77.14437139867285,Adarsh Nagar,28.72036,77.17264
23,Major Dhyan Chand Sports Complex,4b9767a2f964a520770235e3,Athletics & Sports,28.684029298330163,77.16748742045543,Ashok Vihar,28.69038,77.1761
24,Bellagio,4d7ca74b136bf04db8ef628d,Asian Restaurant,28.696361101018056,77.18002105017133,Ashok Vihar,28.69038,77.1761
25,Big Yellow Door,513a1684e4b0581da224735e,Café,28.693244735370346,77.20494771461874,Ashok Vihar,28.69038,77.1761
26,Woodbox Cafe,521de13f11d233636ec81a8d,Café,28.69433449394833,77.20481057363072,Ashok Vihar,28.69038,77.1761
27,Ever Bake,4be2cf842fc7d13a216f083a,Bakery,28.706418633518236,77.16260739997145,Ashok Vihar,28.69038,77.1761
28,Pind Balluchi | पिंड बलूची,4c12559877cea593fdcecc60,Indian Restaurant,28.693736141214828,77.15118241014085,Ashok Vihar,28.69038,77.1761
29,Shakti Nagar,4c080889009a0f472676e5bf,Playground,28.68210305063585,77.19670621602154,Ashok Vihar,28.69038,77.1761
30,BTW,4dd8dbd31838b8561d0b0bba,Snack Place,28.69388244100248,77.14998090659716,Ashok Vihar,28.69038,77.1761
31,Bille Di Hatti | बिल्ले दी हट्टी,4cd75bdc7da9a35d45a8f4b9,Breakfast Spot,28.681587650228284,77.20171940298643,Ashok Vihar,28.69038,77.1761
32,Rico's,51fd2459498e1d0d6b443250,Fast Food Restaurant,28.694766392301215,77.20414858461864,Ashok Vihar,28.69038,77.1761
33,QD's New,506c5184e4b0101524143713,Chinese Restaurant,28.695156012831536,77.20408093484266,Ashok Vihar,28.69038,77.1761
34,Barbeque Nation,508802c0e4b02c9e3da76702,Diner,28.692375080400684,77.15155307645381,Ashok Vihar,28.69038,77.1761
35,"DT Cinemas, City Centre",4b8a46d7f964a520b66632e3,Multiplex,28.703045378352055,77.15818948026143,Ashok Vihar,28.69038,77.1761
36,Subway,5141c822e4b03ec23008f0ab,Sandwich Place,28.69632063168931,77.17998336484409,Ashok Vihar,28.69038,77.1761
37,Shalimar bagh club,50476c99e4b0fb33813c9e2b,Indian Restaurant,28.711882012456098,77.15793345551063,Ashok Vihar,28.69038,77.1761
38,Pentamed Canteen,4b9291cdf964a5204a0534e3,Snack Place,28.699219972029947,77.19174820097714,Ashok Vihar,28.69038,77.1761
39,Mr. Crust Bakers,525bc14011d240f3ac12368b,Bakery,28.690893362293718,77.2015350760009,Ashok Vihar,28.69038,77.1761
40,Mad Over Donuts,4ef582ac02d5abdcb9d76a75,Donut Shop,28.680756979848095,77.20388888228172,Ashok Vihar,28.69038,77.1761
41,Kamla Nagar Market,4bbf1e8bf353d13a0a0d7e10,Miscellaneous Shop,28.684488757456002,77.2029447555542,Ashok Vihar,28.69038,77.1761
42,Subway.,4f6de99ae4b08a0bba95619e,Sandwich Place,28.695571296469403,77.17196364683056,Ashok Vihar,28.69038,77.1761
43,Rahul Egg Corner,4eb301f0775b875dfbd0393f,Snack Place,28.688240410906264,77.16859947234954,Ashok Vihar,28.69038,77.1761
44,Starbucks | स्टारबक्स,53342c4b498e8f3f0b050f24,Coffee Shop,28.680849982842012,77.20391012907784,Ashok Vihar,28.69038,77.1761
45,Gopal Sweets,50950420e4b079e22fb310bf,Breakfast Spot,28.682659955224068,77.19966531984826,Ashok Vihar,28.69038,77.1761
46,Arjun Pao Bhaji,4bfd427dbf6576b036f7acb8,Indian Restaurant,28.708468173834454,77.18496322631836,Ashok Vihar,28.69038,77.1761
47,Domino's Pizza,4fbcce71e4b0d4cb24095f6d,Pizza Place,28.693,77.177,Ashok Vihar,28.69038,77.1761
48,Kake Di Hatti | काके दी हट्टी,52c7d0f6498e1e47b8fbecb0,Indian Restaurant,28.692933118144015,77.15277141175852,Ashok Vihar,28.69038,77.1761
49,Sagar Ratna | सागर रतना,4cb32c8caef16dcb458cc654,South Indian Restaurant,28.693381067058812,77.17797666086976,Ashok Vihar,28.69038,77.1761
50,Chicago Pizza,516114bc16482a49f32b9167,Pizza Place,28.681589774555057,77.20320224761963,Ashok Vihar,28.69038,77.1761
51,Invitation Restaurant,4ef1f61f6c253bf12340bd3d,Indian Restaurant,28.696181557447208,77.17928699622868,Ashok Vihar,28.69038,77.1761
52,24 *7 kamla nagar,4fd6495ae4b078418acc28d8,Department Store,28.69445528714123,77.19534736180339,Ashok Vihar,28.69038,77.1761
53,Pizza hut,4db29b61a86e58921bf93498,Pizza Place,28.67381480668154,77.17839182838226,Ashok Vihar,28.69038,77.1761
54,McDonald's,4dc7997d81303adecbb7699d,Fast Food Restaurant,28.67333845055607,77.16998671442789,Ashok Vihar,28.69038,77.1761
55,Dunkin Donuts,50e5aa40e4b04630d3d52240,Donut Shop,28.705036830843877,77.19006901993055,Ashok Vihar,28.69038,77.1761
56,Netaji Subhash Place,4cb9e9a086dd9521cc6fabe6,Shopping Mall,28.6937510785477,77.14987854734451,Ashok Vihar,28.69038,77.1761
57,Cafe Coffee Day,4d3d54f3d625224b87aa98fa,Coffee Shop,28.693701444448713,77.15124618208971,Ashok Vihar,28.69038,77.1761
58,McDonald's,4d18959ecc216ea8701177d3,Fast Food Restaurant,28.692449639202426,77.15280511461941,Ashok Vihar,28.69038,77.1761
59,Domino's Pizza,4d45812a7e2e548123216b8f,Pizza Place,28.693,77.151,Ashok Vihar,28.69038,77.1761
60,Pizza Hut,4e0f476a1f6e9964ea2b45c6,Pizza Place,28.699932838104072,77.19741371246307,Ashok Vihar,28.69038,77.1761
61,Starbucks Coffee | स्टारबक्स,52878ef4498ed35d3b755c03,Coffee Shop,28.69321742276918,77.1519820248159,Ashok Vihar,28.69038,77.1761
62,Haldiram,4d208bc4756e8cfa9a3f6d54,Indian Restaurant,28.69293615099474,77.15287813742106,Ashok Vihar,28.69038,77.1761
63,cafe coffee day,4c6a8f25cff2952133e4265e,Coffee Shop,28.70850581381088,77.19122886657715,Ashok Vihar,28.69038,77.1761
64,Cafe Coffee Day,4f577c6de4b0377eeeeda637,Coffee Shop,28.707933601581548,77.16147766720368,Ashok Vihar,28.69038,77.1761
65,KFC,4db6916b4df05e5aab08a90e,Fast Food Restaurant,28.69584627396711,77.15184457934843,Ashok Vihar,28.69038,77.1761
66,Hot-Pot,4be5440abcef2d7fb89a03e5,Food Truck,28.702269485589042,77.19757654834768,Ashok Vihar,28.69038,77.1761
67,Café Coffee Day,4c84a0abee6fef3b4f04375c,Coffee Shop,28.69480155305774,77.20410744643709,Ashok Vihar,28.69038,77.1761
68,cafe coffee day,4c6a164d96f176b0b97faf36,Coffee Shop,28.68219216721737,77.20502614974976,Ashok Vihar,28.69038,77.1761
69,Cafe Coffee Day,50fd7436e4b0fb41b1168e0e,Coffee Shop,28.69610288506766,77.17994405382133,Ashok Vihar,28.69038,77.1761
70,Domino's Pizza,4bfa31284a67c928d9f227cf,Pizza Place,28.704,77.19,Ashok Vihar,28.69038,77.1761
71,Subway,4d6e30eb792bb60c0ed05ebe,Sandwich Place,28.695696697530853,77.15198438480523,Ashok Vihar,28.69038,77.1761
72,McDonald's,4c9117b8ae45224b14f1e497,Fast Food Restaurant,28.70563888314002,77.19014763530008,Ashok Vihar,28.69038,77.1761
73,Ever Bake,4be2cf842fc7d13a216f083a,Bakery,28.706418633518236,77.16260739997145,Azadpur,28.71243,77.17305
74,Shalimar bagh club,50476c99e4b0fb33813c9e2b,Indian Restaurant,28.711882012456098,77.15793345551063,Azadpur,28.71243,77.17305
75,"DT Cinemas, City Centre",4b8a46d7f964a520b66632e3,Multiplex,28.703045378352055,77.15818948026143,Azadpur,28.71243,77.17305
76,Arjun Pao Bhaji,4bfd427dbf6576b036f7acb8,Indian Restaurant,28.708468173834454,77.18496322631836,Azadpur,28.71243,77.17305
77,Pind Balluchi | पिंड बलूची,4c12559877cea593fdcecc60,Indian Restaurant,28.693736141214828,77.15118241014085,Azadpur,28.71243,77.17305
78,Bellagio,4d7ca74b136bf04db8ef628d,Asian Restaurant,28.696361101018056,77.18002105017133,Azadpur,28.71243,77.17305
79,"Cafe 24, City Park",4db30f370cb6729b6a778df6,Coffee Shop,28.705728831986658,77.14352269506296,Azadpur,28.71243,77.17305
80,Pentamed Canteen,4b9291cdf964a5204a0534e3,Snack Place,28.699219972029947,77.19174820097714,Azadpur,28.71243,77.17305
81,Subway,5141c822e4b03ec23008f0ab,Sandwich Place,28.69632063168931,77.17998336484409,Azadpur,28.71243,77.17305
82,Subway.,4f6de99ae4b08a0bba95619e,Sandwich Place,28.695571296469403,77.17196364683056,Azadpur,28.71243,77.17305
83,Cafe Coffee Day,4f577c6de4b0377eeeeda637,Coffee Shop,28.707933601581548,77.16147766720368,Azadpur,28.71243,77.17305
84,Dunkin Donuts,50e5aa40e4b04630d3d52240,Donut Shop,28.705036830843877,77.19006901993055,Azadpur,28.71243,77.17305
85,Kake Di Hatti | काके दी हट्टी,52c7d0f6498e1e47b8fbecb0,Indian Restaurant,28.692933118144015,77.15277141175852,Azadpur,28.71243,77.17305
86,cafe coffee day,4c6a8f25cff2952133e4265e,Coffee Shop,28.70850581381088,77.19122886657715,Azadpur,28.71243,77.17305
87,Rahul Egg Corner,4eb301f0775b875dfbd0393f,Snack Place,28.688240410906264,77.16859947234954,Azadpur,28.71243,77.17305
88,Cafe Coffee Day,4d3d54f3d625224b87aa98fa,Coffee Shop,28.693701444448713,77.15124618208971,Azadpur,28.71243,77.17305
89,Domino's Pizza,4fbcce71e4b0d4cb24095f6d,Pizza Place,28.693,77.177,Azadpur,28.71243,77.17305
90,Pizza Hut,4e0f476a1f6e9964ea2b45c6,Pizza Place,28.699932838104072,77.19741371246307,Azadpur,28.71243,77.17305
91,24 *7 kamla nagar,4fd6495ae4b078418acc28d8,Department Store,28.69445528714123,77.19534736180339,Azadpur,28.71243,77.17305
92,McDonald's,4d18959ecc216ea8701177d3,Fast Food Restaurant,28.692449639202426,77.15280511461941,Azadpur,28.71243,77.17305
93,Invitation Restaurant,4ef1f61f6c253bf12340bd3d,Indian Restaurant,28.696181557447208,77.17928699622868,Azadpur,28.71243,77.17305
94,Starbucks Coffee | स्टारबक्स,52878ef4498ed35d3b755c03,Coffee Shop,28.69321742276918,77.1519820248159,Azadpur,28.71243,77.17305
95,Hotel City Park,4bc7907b93bdeee17f8437ae,Hotel,28.70538164968315,77.1433675289154,Azadpur,28.71243,77.17305
96,Sagar Ratna | सागर रतना,4cb32c8caef16dcb458cc654,South Indian Restaurant,28.693381067058812,77.17797666086976,Azadpur,28.71243,77.17305
97,Haldiram,4d208bc4756e8cfa9a3f6d54,Indian Restaurant,28.69293615099474,77.15287813742106,Azadpur,28.71243,77.17305
98,KFC,4db6916b4df05e5aab08a90e,Fast Food Restaurant,28.69584627396711,77.15184457934843,Azadpur,28.71243,77.17305
99,Hot-Pot,4be5440abcef2d7fb89a03e5,Food Truck,28.702269485589042,77.19757654834768,Azadpur,28.71243,77.17305
100,Adarsh Nagar Metro Station,4e6cca9f18381712da03f745,Light Rail Station,28.716598094266047,77.17043638229369,Azadpur,28.71243,77.17305
101,McDonald's,4c9117b8ae45224b14f1e497,Fast Food Restaurant,28.70563888314002,77.19014763530008,Azadpur,28.71243,77.17305
102,Domino's Pizza,4bfa31284a67c928d9f227cf,Pizza Place,28.704,77.19,Azadpur,28.71243,77.17305
103,Subway,4d6e30eb792bb60c0ed05ebe,Sandwich Place,28.695696697530853,77.15198438480523,Azadpur,28.71243,77.17305
104,DLF City Center Mall,4eac0ea6e5e8a5ae7439c89d,Shopping Mall,28.703162839723692,77.15806264413126,Azadpur,28.71243,77.17305
105,Cafe Coffee Day,50fd7436e4b0fb41b1168e0e,Coffee Shop,28.69610288506766,77.17994405382133,Azadpur,28.71243,77.17305
106,Grand Plaza,4dc29ed9d22dd7df9aac7768,Restaurant,28.704231883359686,77.18931952920994,Azadpur,28.71243,77.17305
107,Jahangirpuri Metro Station | जहांगीरपुरी,4de3763852b1d38d2985f208,Light Rail Station,28.726025752225787,77.16262578964233,Azadpur,28.71243,77.17305
108,Dilli Haat | दिल्ली हाट,4e8df1c877c8aa8707345592,Arts & Crafts Store,28.695550260699935,77.14962576944839,Azadpur,28.71243,77.17305
109,24SEVEN,50f2eafde4b00599e74c6fec,Convenience Store,28.702955914151072,77.19521821369096,Azadpur,28.71243,77.17305
110,Balsawa Golf Course,4e6ad3e518a83989eca50c7e,Golf Course,28.73330380350909,77.18358307619556,Azadpur,28.71243,77.17305
